No,Att_1,Att_2,Att_3,Att_4,Label
B3201,27,49,81,37,0
B3202,11,32,78,59,0
B3203,10,21,79,54,0
B3204,25,53,87,44,0
B3205,38,68,44,57,0
B3206,35,79,82,76,1
B3207,34,87,41,70,1
B3208,10,53,41,43,0
B3209,31,62,88,58,1
B3210,27,55,73,58,0
B3211,10,44,88,60,0
B3212,28,64,71,44,0
B3213,29,41,69,40,0
B3214,31,81,51,67,0
B3215,40,73,51,67,1
B3216,21,97,43,64,1
B3217,14,29,65,48,0
B3218,17,65,41,43,0
B3219,30,90,71,63,1
B3220,15,35,41,36,0
B3221,29,91,56,88,0
B3222,35,71,46,71,1
B3223,15,35,40,38,0
B3224,13,32,68,49,0
B3225,21,45,44,40,1
B3226,16,31,88,42,0
B3227,16,61,53,46,0
B3228,27,63,60,31,0
B3229,25,50,40,82,0
B3230,35,77,50,65,1
B3231,11,47,79,70,0
B3232,12,46,40,42,1
B3233,25,83,89,74,1
B3234,12,51,59,46,1
B3235,26,23,87,45,0
B3236,30,57,57,41,0
B3237,23,80,79,62,1
B3238,22,42,68,63,1
B3239,23,43,73,46,0
B3240,26,89,46,65,1
B3241,22,45,88,39,0
B3242,37,93,75,52,1
B3243,20,67,52,51,0
B3244,29,50,67,52,1
B3245,15,66,70,50,1
B3246,14,45,57,70,0
B3247,17,38,57,31,0
B3248,24,27,90,35,0
B3249,39,74,58,87,0
B3250,40,68,82,58,1
B3251,15,65,43,58,0
B3252,30,64,90,56,1
B3253,10,68,55,35,1
B3254,38,80,57,61,1
B3255,20,95,85,80,1
B3256,16,30,71,40,0
B3257,34,65,71,69,0
B3258,21,25,45,54,0
B3259,34,86,54,73,1
B3260,25,62,72,57,1
B3261,25,81,44,64,1
B3262,28,95,74,74,1
B3263,27,51,66,36,0
B3264,38,73,86,59,1
B3265,24,27,62,62,0
B3266,40,75,50,82,1
B3267,28,20,78,44,0
B3268,17,58,55,43,0
B3269,30,61,63,45,0
B3270,23,47,87,55,0
B3271,19,62,64,44,0
B3272,34,87,59,71,1
B3273,21,21,51,42,1
B3274,20,42,90,65,1
B3275,29,61,47,55,0
B3276,11,28,54,54,1
B3277,20,85,60,64,1
B3278,13,44,55,51,0
B3279,23,90,49,63,0
B3280,35,78,83,83,0
B3281,28,79,78,58,1
B3282,19,25,55,42,0
B3283,20,26,75,70,0
B3284,22,28,63,70,1
B3285,24,56,70,50,1
B3286,12,21,88,56,0
B3287,27,51,55,43,0
B3288,12,20,53,52,0
B3289,37,81,58,68,0
B3290,29,69,70,72,1
B3291,33,91,64,50,0
B3292,37,96,68,87,1
B3293,24,88,86,52,1
B3294,25,22,47,41,1
B3295,12,57,62,33,0
B3296,15,60,85,55,0
B3297,21,35,53,67,0
B3298,13,65,63,51,1
B3299,29,68,90,56,0
B3300,12,55,85,32,0
B3301,13,36,59,30,0
B3302,20,82,43,70,1
B3303,17,28,72,56,0
B3304,23,24,67,64,1
B3305,27,69,61,78,0
B3306,24,38,41,43,0
B3307,36,59,74,62,1
B3308,30,80,54,56,1
B3309,23,40,57,51,0
B3310,26,82,74,64,1
B3311,35,50,72,61,1
B3312,12,36,52,45,0
B3313,11,23,53,59,0
B3314,20,84,44,58,0
B3315,24,20,48,69,0
B3316,28,43,45,39,0
B3317,12,68,83,30,1
B3318,13,63,41,65,0
B3319,30,58,90,66,0
B3320,21,68,62,44,0
B3321,12,52,69,64,0
B3322,11,46,52,43,0
B3323,24,74,57,70,0
B3324,26,86,53,74,1
B3325,31,64,68,56,1
B3326,21,22,74,38,0
B3327,11,69,71,64,1
